datetime,TATACHEM_open,TATACHEM_high,TATACHEM_low,TATACHEM_close,TATACHEM_volume
2023-07-27 15:17:59,992.15,992.6,991.8,992.5,24293.0
2023-07-27 15:18:59,992.5,993.5,991.75,993.5,29844.0
2023-07-27 15:19:59,993.0,993.4,993.0,993.2,3389.0
2023-07-27 15:20:59,993.2,993.2,993.0,993.0,8848.0
2023-07-27 15:21:59,993.2,993.2,993.0,993.15,5516.0
2023-07-27 15:22:59,993.2,994.4,993.2,994.3,6267.0
2023-07-27 15:23:59,994.3,995.45,994.3,995.45,3461.0
2023-07-27 15:24:59,995.45,996.5,995.25,996.5,6689.0
2023-07-27 15:25:59,996.7,998.0,996.55,997.5,10988.0
2023-07-27 15:26:59,997.5,997.95,996.85,997.4,5335.0
2023-07-27 15:27:59,997.4,997.4,995.0,995.75,2441.0
2023-07-27 15:28:59,995.75,995.75,993.65,993.85,2659.0
2023-07-27 15:29:59,993.85,996.0,993.85,996.0,13538.0
2023-07-27 15:30:59,996.95,996.95,996.95,996.95,239.0
2023-07-28 09:15:59,999.0,1000.0,997.45,999.25,12341.0
2023-07-28 09:16:59,999.5,1002.75,999.5,1001.95,4235.0
2023-07-28 09:17:59,1001.4,1003.0,1001.4,1002.65,16064.0
2023-07-28 09:18:59,1002.55,1003.5,1001.7,1001.7,4336.0
