datetime,NIFTY BANK_open,NIFTY BANK_high,NIFTY BANK_low,NIFTY BANK_close
2023-05-08 11:56:59,43299.6,43304.95,43289.45,43296.2
2023-05-08 11:57:59,43298.1,43300.7,43287.3,43293.0
2023-05-08 11:58:59,43292.0,43300.15,43288.85,43298.75
2023-05-08 11:59:59,43295.5,43299.5,43292.35,43299.0
2023-05-08 12:00:59,43299.75,43301.55,43289.45,43295.35
2023-05-08 12:01:59,43295.8,43309.4,43292.9,43309.4
2023-05-08 12:02:59,43310.75,43328.85,43290.2,43290.2
2023-05-08 12:03:59,43276.85,43287.2,43248.8,43285.5
2023-05-08 12:04:59,43286.05,43326.25,43282.1,43315.9
2023-05-08 12:05:59,43314.3,43320.15,43303.8,43305.7
2023-05-08 12:06:59,43302.95,43316.9,43298.95,43306.55
2023-05-08 12:07:59,43297.7,43310.85,43291.0,43310.85
2023-05-08 12:08:59,43310.9,43315.95,43296.55,43301.0
2023-05-08 12:09:59,43302.25,43315.9,43290.85,43290.85
2023-05-08 12:10:59,43286.95,43286.95,43260.95,43278.6
2023-05-08 12:11:59,43279.2,43305.15,43278.45,43305.15
2023-05-08 12:12:59,43301.4,43321.7,43301.4,43320.9
2023-05-08 12:13:59,43320.6,43321.5,43288.9,43291.75
2023-05-08 12:14:59,43292.35,43297.0,43283.85,43288.2
2023-05-08 12:15:59,43287.7,43287.7,43275.0,43280.6
2023-05-08 12:16:59,43279.2,43283.2,43272.5,43280.35
2023-05-08 12:17:59,43279.05,43279.05,43263.25,43266.35
2023-05-08 12:18:59,43265.8,43272.0,43258.1,43270.8
2023-05-08 12:19:59,43271.0,43279.6,43265.8,43273.9
2023-05-08 12:20:59,43272.4,43275.85,43260.45,43263.7
2023-05-08 12:21:59,43262.2,43268.75,43253.7,43256.6
2023-05-08 12:22:59,43256.2,43260.1,43250.35,43256.1
2023-05-08 12:23:59,43252.15,43262.45,43252.15,43259.35
2023-05-08 12:24:59,43256.7,43264.3,43255.7,43261.75
2023-05-08 12:25:59,43261.95,43265.65,43252.3,43262.0
2023-05-08 12:26:59,43260.75,43263.15,43250.9,43253.85
2023-05-08 12:27:59,43254.25,43269.4,43253.75,43260.0
2023-05-08 12:28:59,43259.15,43262.55,43254.1,43260.4
2023-05-08 12:29:59,43261.65,43263.45,43257.45,43259.6
2023-05-08 12:30:59,43259.5,43271.1,43254.7,43257.4
2023-05-08 12:31:59,43258.05,43289.9,43255.5,43288.6
2023-05-08 12:32:59,43287.55,43287.55,43275.15,43277.45
2023-05-08 12:33:59,43279.85,43289.5,43277.55,43284.15
2023-05-08 12:34:59,43281.45,43287.4,43280.85,43284.3
2023-05-08 12:35:59,43286.25,43296.55,43286.25,43287.55
2023-05-08 12:36:59,43287.95,43296.4,43286.6,43289.5
2023-05-08 12:37:59,43290.45,43295.8,43285.0,43285.3
2023-05-08 12:38:59,43284.7,43288.15,43276.0,43286.6
2023-05-08 12:39:59,43286.6,43299.9,43286.6,43295.3
2023-05-08 12:40:59,43296.45,43297.0,43287.5,43294.65
2023-05-08 12:41:59,43292.2,43296.35,43291.65,43292.8
2023-05-08 12:42:59,43294.15,43303.5,43291.05,43299.25
2023-05-08 12:43:59,43301.5,43304.45,43295.55,43302.0
2023-05-08 12:44:59,43302.5,43323.45,43301.9,43318.95
2023-05-08 12:45:59,43321.2,43321.55,43304.05,43308.4
2023-05-08 12:46:59,43307.95,43313.5,43304.2,43305.35
